largest                  	 JJS	                      0.0 #761
transnational            	  JJ	                      0.0 #1419
biotechnology-derived    	  JJ	                      0.0 #160
live                     	  JJ	                      0.0 #798
gene-spliced             	  JJ	                      0.0 #556
technically              	  RB	                      0.0 #1384
helpful                  	  JJ	                      0.0 #614
wealthy                  	  JJ	                      0.0 #1543
abundant                 	  JJ	                      0.0 #15
ago                      	  RB	                      0.0 #47
multi-location           	  JJ	                      0.0 #875
classical                	  JJ	                      0.0 #212
combined                 	  JJ	                      0.0 #228
simultaneous             	  JJ	                      0.0 #1266
fifth                    	  JJ	                      0.0 #501
hypothetical             	  JJ	                      0.0 #644
trans                    	  JJ	                      0.0 #1417
productive               	  JJ	                      0.0 #1091
unaffected               	  JJ	                      0.0 #1438
barely                   	  RB	                      0.0 #131
weird                    	  JJ	                      0.0 #1546
anti-science             	  JJ	                      0.0 #85
distinct                 	  JJ	                      0.0 #354
polluted                 	  JJ	                      0.0 #1039
seedless                 	  JJ	                      0.0 #1226
socioeconomic            	  JJ	                      0.0 #1289
low                      	  JJ	                      0.0 #808
social                   	  JJ	                      0.0 #1284
philosophical            	  JJ	                      0.0 #1024
socially                 	  RB	                      0.0 #1285
ahead                    	  RB	                      0.0 #53
physical                 	  JJ	                      0.0 #1025
now                      	  RB	                      0.0 #940
skeptical                	  JJ	                      0.0 #1271
lately                   	  RB	                      0.0 #766
excellent                	  JJ	                      0.0 #448
rarely                   	  RB	                      0.0 #1135
inadvertently            	  RB	                      0.0 #669
supportive               	  JJ	                      0.0 #1364
narrow                   	  JJ	                      0.0 #882
senior                   	  JJ	                      0.0 #1232
frankenfish              	  JJ	                      0.0 #531
neighbouring             	  JJ	                      0.0 #898
non-gmo                  	  JJ	                      0.0 #920
wise                     	  JJ	                      0.0 #1567
least                    	 JJS	                      0.0 #772
deleterious              	  JJ	                      0.0 #315
dubious                  	  JJ	                      0.0 #372
profound                 	  JJ	                      0.0 #1095
adequate                 	  JJ	                      0.0 #34
swedish                  	  JJ	                      0.0 #1375
highest                  	 JJS	                      0.0 #625
enormously               	  RB	                      0.0 #412
chemical                 	  JJ	                      0.0 #203
necessary                	  JJ	                      0.0 #894
next                     	  JJ	                      0.0 #908
wonderful                	  JJ	                      0.0 #1568
unusual                  	  JJ	                      0.0 #1500
interested               	  JJ	                      0.0 #728
beneficial               	  JJ	                      0.0 #137
upstream                 	  JJ	                      0.0 #1506
synthetic                	  JJ	                      0.0 #1378
unwarranted              	  JJ	                      0.0 #1502
easily                   	  RB	                      0.0 #383
profitable               	  JJ	                      0.0 #1094
deliberate               	  JJ	                      0.0 #316
smart                    	  JJ	                      0.0 #1281
partial                  	  JJ	                      0.0 #998
wider                    	 JJR	                      0.0 #1561
seemingly                	  RB	                      0.0 #1227
australian               	  JJ	                      0.0 #114
equivalence              	  JJ	                      0.0 #425
annually                 	  RB	                      0.0 #78
renowned                 	  JJ	                      0.0 #1170
improved                 	  JJ	                      0.0 #666
intrinsic                	  JJ	                      0.0 #735
commonly                 	  RB	                      0.0 #234
benecial                 	  JJ	                      0.0 #136
hidden                   	  JJ	                      0.0 #618
clean                    	  JJ	                      0.0 #213
secondary                	  JJ	                      0.0 #1222
locally                  	  RB	                      0.0 #800
likely                   	  JJ	                      0.0 #787
proportionate            	  JJ	                      0.0 #1104
minimal                  	  JJ	                      0.0 #854
immediately              	  RB	                      0.0 #654
triploid                 	  JJ	                      0.0 #1422
nearby                   	  JJ	                      0.0 #889
volatile                 	  JJ	                      0.0 #1536
suitable                 	  JJ	                      0.0 #1360
quickly                  	  RB	                      0.0 #1124
challenging              	  JJ	                      0.0 #198
compelling               	  JJ	                      0.0 #238
nontransgenic            	  JJ	                      0.0 #931
cost-effective           	  JJ	                      0.0 #285
surprisingly             	  RB	                      0.0 #1370
average                  	  JJ	                      0.0 #119
irresponsible            	  JJ	                      0.0 #742
willing                  	  JJ	                      0.0 #1566
previously               	  RB	                      0.0 #1078
anyway                   	  RB	                      0.0 #92
suggestive               	  JJ	                      0.0 #1359
uncertain                	  JJ	                      0.0 #1444
non                      	  JJ	                      0.0 #913
infectious               	  JJ	                      0.0 #698
first                    	  JJ	                      0.0 #509
fatal                    	  JJ	                      0.0 #488
currently                	  RB	                      0.0 #300
respectively             	  RB	                      0.0 #1177
stronger                 	 JJR	                      0.0 #1339
pro-natural              	  JJ	                      0.0 #1088
forever                  	  RB	                      0.0 #520
completely               	  RB	                      0.0 #243
worthy                   	  JJ	                      0.0 #1578
guilty                   	  JJ	                      0.0 #592
forthcoming              	  JJ	                      0.0 #525
biggest                  	 JJS	                      0.0 #146
forward                  	  RB	                      0.0 #527
tipping                  	  JJ	                      0.0 #1405
incomplete               	  JJ	                      0.0 #674
right                    	  RB	                      0.0 #1190
merely                   	  RB	                      0.0 #841
popular                  	  JJ	                      0.0 #1044
low-income               	  JJ	                      0.0 #809
emotional                	  JJ	                      0.0 #403
controversial            	  JJ	                      0.0 #273
epidemiological          	  JJ	                      0.0 #422
pollen-mediated          	  JJ	                      0.0 #1038
outstanding              	  JJ	                      0.0 #988
revolving                	  JJ	                      0.0 #1185
solely                   	  RB	                      0.0 #1293
continued                	  JJ	                      0.0 #266
fresh                    	  JJ	                      0.0 #537
legal                    	  JJ	                      0.0 #773
inevitably               	  RB	                      0.0 #695
argentine                	  JJ	                      0.0 #104
unacceptable             	  JJ	                      0.0 #1437
excess                   	  JJ	                      0.0 #449
partially                	  RB	                      0.0 #999
immune                   	  JJ	                      0.0 #656
largely                  	  RB	                      0.0 #759
simultaneously           	  RB	                      0.0 #1267
dark                     	  JJ	                      0.0 #305
accessible               	  JJ	                      0.0 #18
natural                  	  JJ	                      0.0 #886
environmental            	  JJ	                      0.0 #418
sorry                    	  JJ	                      0.0 #1304
tragic                   	  JJ	                      0.0 #1416
fabulous                 	  JJ	                      0.0 #468
technical                	  JJ	                      0.0 #1383
japanese                 	  JJ	                      0.0 #747
commercialized           	  JJ	                      0.0 #231
non-target               	  JJ	                      0.0 #925
normal                   	  JJ	                      0.0 #932
control                  	  JJ	                      0.0 #271
strict                   	  JJ	                      0.0 #1334
prominent                	  JJ	                      0.0 #1098
alien                    	  JJ	                      0.0 #55
up-to-date               	  JJ	                      0.0 #1504
acceptable               	  JJ	                      0.0 #17
concentrated             	  JJ	                      0.0 #248
biosynthetic             	  JJ	                      0.0 #156
well-known               	  JJ	                      0.0 #1549
lasting                  	  JJ	                      0.0 #763
routine                  	  JJ	                      0.0 #1200
federal                  	  JJ	                      0.0 #494
otherwise                	  RB	                      0.0 #983
ancient                  	  JJ	                      0.0 #75
non-gm                   	  JJ	                      0.0 #919
sincere                  	  JJ	                      0.0 #1268
clear                    	  JJ	                      0.0 #214
intended                 	  JJ	                      0.0 #723
enthusiastically         	  RB	                      0.0 #415
rich                     	  JJ	                      0.0 #1187
daily                    	  RB	                      0.0 #302
enzymatic                	  JJ	                      0.0 #420
developed                	  JJ	                      0.0 #331
green                    	  JJ	                      0.0 #589
northern                 	  JJ	                      0.0 #935
respiratory              	  JJ	                      0.0 #1178
substantial              	  JJ	                      0.0 #1349
purely                   	  RB	                      0.0 #1118
essentially              	  RB	                      0.0 #429
unlabeled                	  JJ	                      0.0 #1474
spiritual                	  JJ	                      0.0 #1315
temporary                	  JJ	                      0.0 #1387
permanently              	  RB	                      0.0 #1012
arguably                 	  RB	                      0.0 #105
modern                   	  JJ	                      0.0 #863
embryonic                	  JJ	                      0.0 #402
intentionally            	  RB	                      0.0 #726
active                   	  JJ	                      0.0 #25
last                     	  JJ	                      0.0 #762
antioxidant              	  JJ	                      0.0 #88
comparable               	  JJ	                      0.0 #235
convincing               	  JJ	                      0.0 #278
secret                   	  JJ	                      0.0 #1224
competitive              	  JJ	                      0.0 #240
brief                    	  JJ	                      0.0 #172
female                   	  JJ	                      0.0 #496
optimal                  	  JJ	                      0.0 #974
sophisticated            	  JJ	                      0.0 #1303
somehow                  	  RB	                      0.0 #1297
bovine                   	  JJ	                      0.0 #170
promising                	  JJ	                      0.0 #1099
proven                   	  JJ	                      0.0 #1110
confident                	  JJ	                      0.0 #251
detailed                 	  JJ	                      0.0 #327
poorest                  	 JJS	                      0.0 #1042
stringent                	  JJ	                      0.0 #1337
ex-ante                  	  JJ	                      0.0 #444
surprising               	  JJ	                      0.0 #1369
irrigated                	  JJ	                      0.0 #744
eventually               	  RB	                      0.0 #437
stranded                 	  JJ	                      0.0 #1331
newer                    	 JJR	                      0.0 #906
clinical                 	  JJ	                      0.0 #218
right                    	  JJ	                      0.0 #1191
unsupported              	  JJ	                      0.0 #1495
upper                    	  JJ	                      0.0 #1505
big                      	  JJ	                      0.0 #144
inaccurate               	  JJ	                      0.0 #667
viable                   	  JJ	                      0.0 #1523
unpredicted              	  JJ	                      0.0 #1482
predominantly            	  RB	                      0.0 #1063
often                    	  RB	                      0.0 #960
open-pollinated          	  JJ	                      0.0 #972
empirical                	  JJ	                      0.0 #404
less                     	 RBR	                      0.0 #778
worldwide                	  JJ	                      0.0 #1571
firm                     	  JJ	                      0.0 #507
clearly                  	  RB	                      0.0 #215
developing               	  JJ	                      0.0 #332
vested                   	  JJ	                      0.0 #1521
certified                	  JJ	                      0.0 #197
veterinary               	  JJ	                      0.0 #1522
overall                  	  JJ	                      0.0 #989
biosafety                	  JJ	                      0.0 #155
aside                    	  RB	                      0.0 #110
soyabean                 	  JJ	                      0.0 #1308
severely                 	  RB	                      0.0 #1241
alone                    	  RB	                      0.0 #64
reductionist             	  JJ	                      0.0 #1155
authoritative            	  JJ	                      0.0 #116
complementary            	  JJ	                      0.0 #241
bottom                   	  JJ	                      0.0 #169
following                	  JJ	                      0.0 #516
interdisciplinary        	  JJ	                      0.0 #727
attributable             	  JJ	                      0.0 #113
myriad                   	  JJ	                      0.0 #880
endocrine                	  JJ	                      0.0 #408
strongest                	 JJS	                      0.0 #1340
solar                    	  JJ	                      0.0 #1291
strongly                 	  RB	                      0.0 #1341
meanwhile                	  RB	                      0.0 #835
opposite                 	  JJ	                      0.0 #973
fossil                   	  JJ	                      0.0 #528
lucky                    	  JJ	                      0.0 #812
confidential             	  JJ	                      0.0 #252
unprecedented            	  JJ	                      0.0 #1480
absent                   	  JJ	                      0.0 #10
initially                	  RB	                      0.0 #709
far-reaching             	  JJ	                      0.0 #478
ordinary                 	  JJ	                      0.0 #978
altogether               	  RB	                      0.0 #68
latter                   	  JJ	                      0.0 #769
spurious                 	  JJ	                      0.0 #1317
however                  	  RB	                      0.0 #638
historical               	  JJ	                      0.0 #628
sustainably              	  RB	                      0.0 #1374
thoughtful               	  JJ	                      0.0 #1402
abstract                 	  JJ	                      0.0 #13
artificial               	  JJ	                      0.0 #107
lethal                   	  JJ	                      0.0 #780
past                     	  JJ	                      0.0 #1003
friendly                 	  JJ	                      0.0 #538
nervous                  	  JJ	                      0.0 #900
disease-causing          	  JJ	                      0.0 #348
unnatural                	  JJ	                      0.0 #1477
accordingly              	  RB	                      0.0 #21
impressive               	  JJ	                      0.0 #665
indefinitely             	  RB	                      0.0 #682
particular               	  JJ	                      0.0 #1000
staple                   	  JJ	                      0.0 #1321
super                    	  JJ	                      0.0 #1361
thorough                 	  JJ	                      0.0 #1399
short                    	  RB	                      0.0 #1247
giant                    	  JJ	                      0.0 #566
premature                	  JJ	                      0.0 #1068
collective               	  JJ	                      0.0 #227
south                    	  JJ	                      0.0 #1306
aquatic                  	  JJ	                      0.0 #101
liberal                  	  JJ	                      0.0 #782
socio-political          	  JJ	                      0.0 #1288
clever                   	  JJ	                      0.0 #216
poisonous                	  JJ	                      0.0 #1035
unexpectedly             	  RB	                      0.0 #1458
double                   	  RB	                      0.0 #363
agri-biotech             	  JJ	                      0.0 #48
ecologically             	  RB	                      0.0 #387
sick                     	  JJ	                      0.0 #1252
dutch                    	  JJ	                      0.0 #374
poorer                   	 JJR	                      0.0 #1041
adventitious             	  JJ	                      0.0 #38
central                  	  JJ	                      0.0 #194
infertile                	  JJ	                      0.0 #699
nutritive                	  JJ	                      0.0 #949
heavier                  	 JJR	                      0.0 #611
together                 	  RB	                      0.0 #1406
western                  	  JJ	                      0.0 #1550
double-stranded          	  JJ	                      0.0 #365
potentially              	  RB	                      0.0 #1052
worthless                	  JJ	                      0.0 #1577
five-year                	  JJ	                      0.0 #512
unmodified               	  JJ	                      0.0 #1476
unpublished              	  JJ	                      0.0 #1484
metric                   	  JJ	                      0.0 #843
continuously             	  RB	                      0.0 #268
fair                     	  JJ	                      0.0 #470
pest-resistant           	  JJ	                      0.0 #1019
prone                    	  JJ	                      0.0 #1100
drastically              	  RB	                      0.0 #369
uncontrolled             	  JJ	                      0.0 #1448
unsustainable            	  JJ	                      0.0 #1496
online                   	  JJ	                      0.0 #970
chronic                  	  JJ	                      0.0 #207
similar                  	  JJ	                      0.0 #1259
plausible                	  JJ	                      0.0 #1032
gene-altered             	  JJ	                      0.0 #555
cool                     	  JJ	                      0.0 #279
intestinal               	  JJ	                      0.0 #734
unexpected               	  JJ	                      0.0 #1457
extraordinary            	  JJ	                      0.0 #465
dishonest                	  JJ	                      0.0 #351
voluntary                	  JJ	                      0.0 #1538
instead                  	  RB	                      0.0 #717
eukaryotic               	  JJ	                      0.0 #433
next                     	  RB	                      0.0 #909
questionable             	  JJ	                      0.0 #1122
microscopic              	  JJ	                      0.0 #848
easy                     	  JJ	                      0.0 #385
ironic                   	  JJ	                      0.0 #738
unexplained              	  JJ	                      0.0 #1459
overwhelmingly           	  RB	                      0.0 #992
major                    	  JJ	                      0.0 #817
retinoic                 	  JJ	                      0.0 #1184
randomly                 	  RB	                      0.0 #1131
former                   	  JJ	                      0.0 #522
equal                    	  JJ	                      0.0 #423
9th                      	  JJ	                      0.0 #5
non-modified             	  JJ	                      0.0 #922
qualitative              	  JJ	                      0.0 #1120
fairly                   	  RB	                      0.0 #471
disastrous               	  JJ	                      0.0 #347
dramatically             	  RB	                      0.0 #368
special                  	  JJ	                      0.0 #1310
scientific               	  JJ	                      0.0 #1216
incredibly               	  RB	                      0.0 #679
robust                   	  JJ	                      0.0 #1196
lowest                   	 JJS	                      0.0 #811
virulent                 	  JJ	                      0.0 #1529
indirectly               	  RB	                      0.0 #688
likely                   	  RB	                      0.0 #788
older                    	 JJR	                      0.0 #964
nasty                    	  JJ	                      0.0 #883
brinjal                  	  JJ	                      0.0 #175
problematic              	  JJ	                      0.0 #1090
negative                 	  JJ	                      0.0 #895
overall                  	  RB	                      0.0 #990
biologically             	  RB	                      0.0 #154
non-ge                   	  JJ	                      0.0 #917
old-fashioned            	  JJ	                      0.0 #963
analytical               	  JJ	                      0.0 #73
frozen                   	  JJ	                      0.0 #541
noxious                  	  JJ	                      0.0 #942
harmful                  	  JJ	                      0.0 #602
weedy                    	  JJ	                      0.0 #1544
accidental               	  JJ	                      0.0 #19
fourth                   	  JJ	                      0.0 #529
rid                      	  JJ	                      0.0 #1188
ideological              	  JJ	                      0.0 #648
unlikely                 	  JJ	                      0.0 #1475
une                      	  JJ	                      0.0 #1455
short                    	  JJ	                      0.0 #1248
avian                    	  JJ	                      0.0 #120
poor                     	  JJ	                      0.0 #1040
compositional            	  JJ	                      0.0 #246
ongoing                  	  JJ	                      0.0 #969
unresolved               	  JJ	                      0.0 #1488
valuable                 	  JJ	                      0.0 #1515
internal                 	  JJ	                      0.0 #731
fragmented               	  JJ	                      0.0 #530
so-called                	  JJ	                      0.0 #1282
wet                      	  JJ	                      0.0 #1551
dry                      	  JJ	                      0.0 #371
allergic                 	  JJ	                      0.0 #61
single                   	  JJ	                      0.0 #1269
uncomfortable            	  JJ	                      0.0 #1446
maximum                  	  JJ	                      0.0 #831
routinely                	  RB	                      0.0 #1201
selectively              	  RB	                      0.0 #1231
negatively               	  RB	                      0.0 #896
ripening                 	  JJ	                      0.0 #1194
unintentionally          	  RB	                      0.0 #1470
consuming                	  JJ	                      0.0 #263
cardiovascular           	  JJ	                      0.0 #189
downstream               	  JJ	                      0.0 #366
domesticated             	  JJ	                      0.0 #360
political                	  JJ	                      0.0 #1036
quantitative             	  JJ	                      0.0 #1121
remarkable               	  JJ	                      0.0 #1166
isogenic                 	  JJ	                      0.0 #745
sometimes                	  RB	                      0.0 #1298
basic                    	  JJ	                      0.0 #133
yet                      	  RB	                      0.0 #1583
unrestricted             	  JJ	                      0.0 #1489
affordable               	  JJ	                      0.0 #43
quietly                  	  RB	                      0.0 #1125
hardier                  	 JJR	                      0.0 #600
high-quality             	  JJ	                      0.0 #621
balanced                 	  JJ	                      0.0 #130
double                   	  JJ	                      0.0 #364
neonicotinoid            	  JJ	                      0.0 #899
cultural                 	  JJ	                      0.0 #296
already                  	  RB	                      0.0 #66
follow-up                	  JJ	                      0.0 #515
proprietary              	  JJ	                      0.0 #1105
away                     	  RB	                      0.0 #122
professional             	  JJ	                      0.0 #1092
antitrust                	  JJ	                      0.0 #90
scientifically           	  RB	                      0.0 #1217
supposedly               	  RB	                      0.0 #1365
identical                	  JJ	                      0.0 #647
charitable               	  JJ	                      0.0 #200
terrestrial              	  JJ	                      0.0 #1388
sufficient               	  JJ	                      0.0 #1357
later                    	  JJ	                      0.0 #767
abroad                   	  RB	                      0.0 #9
sobering                 	  JJ	                      0.0 #1283
linear                   	  JJ	                      0.0 #791
subsequent               	  JJ	                      0.0 #1347
systematically           	  RB	                      0.0 #1380
linoleic                 	  JJ	                      0.0 #792
profit-driven            	  JJ	                      0.0 #1093
vistive                  	  JJ	                      0.0 #1532
yellow                   	  JJ	                      0.0 #1581
parasitic                	  JJ	                      0.0 #996
societal                 	  JJ	                      0.0 #1286
mucosal                  	  JJ	                      0.0 #874
especially               	  RB	                      0.0 #427
antiscience              	  JJ	                      0.0 #89
perfect                  	  JJ	                      0.0 #1008
convenient               	  JJ	                      0.0 #274
sacred                   	  JJ	                      0.0 #1206
roundup-ready            	  JJ	                      0.0 #1198
near                     	  JJ	                      0.0 #888
diverse                  	  JJ	                      0.0 #356
primarily                	  RB	                      0.0 #1079
insect-protected         	  JJ	                      0.0 #712
thus                     	  RB	                      0.0 #1403
infected                 	  JJ	                      0.0 #697
soon                     	  RB	                      0.0 #1301
stupid                   	  JJ	                      0.0 #1343
enlarged                 	  JJ	                      0.0 #410
fast-growing             	  JJ	                      0.0 #483
feral                    	  JJ	                      0.0 #497
present                  	  JJ	                      0.0 #1070
unintended               	  JJ	                      0.0 #1468
famous                   	  JJ	                      0.0 #475
mainly                   	  RB	                      0.0 #815
notorious                	  JJ	                      0.0 #938
blight-resistant         	  JJ	                      0.0 #165
apparently               	  RB	                      0.0 #96
ready                    	  JJ	                      0.0 #1141
undernourished           	  JJ	                      0.0 #1450
shocking                 	  JJ	                      0.0 #1246
residual                 	  JJ	                      0.0 #1173
astonishing              	  JJ	                      0.0 #111
dormant                  	  JJ	                      0.0 #362
little                   	  RB	                      0.0 #796
moderate                 	  JJ	                      0.0 #862
possibly                 	  RB	                      0.0 #1048
crude                    	  JJ	                      0.0 #295
sole                     	  JJ	                      0.0 #1292
science-based            	  JJ	                      0.0 #1215
thick                    	  JJ	                      0.0 #1397
dietary                  	  JJ	                      0.0 #335
blatant                  	  JJ	                      0.0 #164
characteristic           	  JJ	                      0.0 #199
german                   	  JJ	                      0.0 #565
slightly                 	  RB	                      0.0 #1273
presidential             	  JJ	                      0.0 #1072
risky                    	  JJ	                      0.0 #1195
blue                     	  JJ	                      0.0 #167
arable                   	  JJ	                      0.0 #102
diploid                  	  JJ	                      0.0 #342
micronutrient            	  JJ	                      0.0 #847
unaware                  	  JJ	                      0.0 #1442
certainly                	  RB	                      0.0 #196
favorite                 	  JJ	                      0.0 #492
ironically               	  RB	                      0.0 #739
credible                 	  JJ	                      0.0 #290
non-engineered           	  JJ	                      0.0 #916
late                     	  RB	                      0.0 #764
slowly                   	  RB	                      0.0 #1276
humble                   	  JJ	                      0.0 #642
desirable                	  JJ	                      0.0 #323
agricultural             	  JJ	                      0.0 #49
relatively               	  RB	                      0.0 #1162
long-term                	  JJ	                      0.0 #805
consistently             	  RB	                      0.0 #259
severe                   	  JJ	                      0.0 #1240
impoverished             	  JJ	                      0.0 #664
different                	  JJ	                      0.0 #336
mutational               	  JJ	                      0.0 #879
gradually                	  RB	                      0.0 #581
though                   	  RB	                      0.0 #1401
patented                 	  JJ	                      0.0 #1004
useless                  	  JJ	                      0.0 #1511
effective                	  JJ	                      0.0 #392
occasionally             	  RB	                      0.0 #956
experimental             	  JJ	                      0.0 #457
marketable               	  JJ	                      0.0 #828
appropriate              	  JJ	                      0.0 #98
massive                  	  JJ	                      0.0 #829
nuclear                  	  JJ	                      0.0 #943
haitian                  	  JJ	                      0.0 #593
mandatory                	  JJ	                      0.0 #822
open                     	  JJ	                      0.0 #971
annual                   	  JJ	                      0.0 #77
horticultural            	  JJ	                      0.0 #636
faster                   	 JJR	                      0.0 #485
faulty                   	  JJ	                      0.0 #490
pro-gm                   	  JJ	                      0.0 #1087
sexually                 	  RB	                      0.0 #1243
evil                     	  JJ	                      0.0 #442
unfortunate              	  JJ	                      0.0 #1462
genetically-engineered   	  JJ	                      0.0 #559
alleged                  	  JJ	                      0.0 #58
side                     	  JJ	                      0.0 #1253
digestive                	  JJ	                      0.0 #341
mainstream               	  JJ	                      0.0 #816
inevitable               	  JJ	                      0.0 #694
unintelligent            	  JJ	                      0.0 #1467
plant-based              	  JJ	                      0.0 #1030
mental                   	  JJ	                      0.0 #839
genuine                  	  JJ	                      0.0 #562
silent                   	  JJ	                      0.0 #1258
basically                	  RB	                      0.0 #134
legislative              	  JJ	                      0.0 #775
simplistic               	  JJ	                      0.0 #1263
intensive                	  JJ	                      0.0 #725
dominant                 	  JJ	                      0.0 #361
fungal                   	  JJ	                      0.0 #548
vastly                   	  RB	                      0.0 #1519
carcinogenic             	  JJ	                      0.0 #188
contrary                 	  JJ	                      0.0 #270
occasional               	  JJ	                      0.0 #955
pronounced               	  JJ	                      0.0 #1101
allergenic               	  JJ	                      0.0 #60
man-made                 	  JJ	                      0.0 #821
rbgh-free                	  JJ	                      0.0 #1139
herbicide-tolerant       	  JJ	                      0.0 #617
placental                	  JJ	                      0.0 #1029
beautiful                	  JJ	                      0.0 #135
antibiotic               	  JJ	                      0.0 #87
